station_j,m,t,inventory_MWh
224,3,2,0.1
224,3,3,0.088
227,0,0,0.088
227,0,2,0.088
227,0,3,0.088
227,1,0,0.088
227,1,2,0.088
227,1,3,0.088
227,2,0,0.088
227,2,2,0.088
227,2,3,0.088
227,3,0,0.088
227,3,2,0.088
227,3,3,0.088
230,0,0,0.088
230,0,2,0.1
230,1,0,0.088
230,1,2,0.1
230,2,0,0.088
230,2,2,0.1
230,3,0,0.088
230,3,2,0.1
231,0,0,0.088
231,0,2,0.088
231,0,3,0.088
231,3,0,0.088
231,3,2,0.088
231,3,3,0.088
232,0,0,0.088
232,0,2,0.1
232,1,0,0.088
232,1,2,0.1
232,2,0,0.088
232,2,2,0.1
232,3,0,0.088
232,3,2,0.1
233,0,0,0.088
233,0,2,0.088
233,0,3,0.088
233,3,0,0.088
233,3,2,0.088
233,3,3,0.088
238,0,0,0.088
238,0,2,0.1
238,1,0,0.1
238,1,1,0.01200000000000001
238,1,2,0.1
238,1,3,0.1
238,2,0,0.1
238,2,1,0.01200000000000001
238,2,2,0.1
238,2,3,0.1
238,3,0,0.088
238,3,2,0.1
238,3,3,0.088
239,3,0,0.1
239,3,1,0.1
239,3,2,0.1
239,3,3,0.1
240,0,0,0.088
240,0,2,0.1
240,1,0,0.088
240,1,2,0.1
240,2,0,0.088
240,2,2,0.1
240,3,0,0.088
240,3,2,0.1
248,0,0,0.088
248,0,2,0.1
248,1,0,0.088
248,1,2,0.1
248,2,0,0.088
248,2,2,0.1
248,3,0,0.088
248,3,2,0.1
249,0,0,0.088
249,0,2,0.1
249,1,0,0.088
249,1,2,0.1
249,2,0,0.088
249,2,2,0.1
249,3,0,0.088
249,3,2,0.1
251,0,0,0.088
251,0,2,0.088
251,0,3,0.088
253,0,0,0.088
253,0,2,0.1
253,0,3,0.088
253,1,0,0.088
253,1,2,0.088
253,1,3,0.088
253,2,0,0.1
253,2,1,0.01200000000000001
253,2,2,0.1
253,2,3,0.1
253,3,0,0.088
253,3,2,0.088
253,3,3,0.088
254,0,0,0.088
254,0,2,0.1
254,1,0,0.088
254,1,2,0.1
254,2,0,0.088
254,2,2,0.1
254,3,0,0.088
254,3,2,0.1
255,0,0,0.088
255,0,2,0.1
255,1,0,0.088
255,1,2,0.1
255,2,0,0.088
255,2,2,0.1
255,3,0,0.088
255,3,2,0.1
256,0,0,0.088
256,0,2,0.088
256,0,3,0.088
256,1,0,0.1
256,1,1,0.01200000000000001
256,1,2,0.1
256,1,3,0.1
256,2,0,0.07449190345234874
256,2,2,0.07449190345234874
256,2,3,0.07449190345234874
256,3,0,0.1
256,3,1,0.01200000000000001
256,3,2,0.1
256,3,3,0.1
258,0,0,0.088
258,0,2,0.1
258,1,0,0.088
258,1,2,0.1
258,2,0,0.088
258,2,2,0.1
258,3,0,0.088
258,3,2,0.1
259,2,0,0.1
259,2,1,0.1
259,2,2,0.1
259,2,3,0.1
259,3,0,0.1
259,3,1,0.1
259,3,2,0.1
259,3,3,0.1
260,0,0,0.088
260,0,2,0.1
260,1,0,0.088
260,1,2,0.1
260,2,0,0.088
260,2,2,0.1
260,3,0,0.088
260,3,2,0.1
263,0,0,0.088
263,0,2,0.1
263,1,0,0.088
263,1,2,0.1
263,2,0,0.088
263,2,2,0.1
263,3,0,0.088
263,3,2,0.1
267,0,0,0.088
267,0,2,0.088
267,0,3,0.088
267,1,0,0.088
267,1,2,0.088
267,1,3,0.088
267,2,0,0.088
267,2,2,0.088
267,2,3,0.088
267,3,0,0.088
267,3,2,0.088
267,3,3,0.088
270,0,0,0.1
270,0,1,0.01200000000000001
270,0,2,0.1
270,0,3,0.1
270,1,0,0.088
270,1,2,0.088
270,1,3,0.088
270,2,0,0.088
270,2,2,0.088
270,2,3,0.088
270,3,0,0.088
270,3,2,0.088
270,3,3,0.088
271,0,0,0.1
271,0,1,0.01200000000000001
271,0,2,0.1
271,0,3,0.1
271,1,0,0.088
271,1,2,0.088
271,1,3,0.088
271,2,0,0.1
271,2,1,0.01200000000000001
271,2,2,0.1
271,2,3,0.1
271,3,0,0.088
271,3,2,0.088
271,3,3,0.088
272,0,0,0.088
272,0,2,0.088
272,0,3,0.088
272,1,0,0.088
272,1,2,0.088
272,1,3,0.088
272,2,0,0.088
272,2,2,0.088
272,2,3,0.088
272,3,0,0.088
272,3,2,0.088
272,3,3,0.088
273,0,0,0.088
273,0,2,0.1
273,1,0,0.088
273,1,2,0.088
273,1,3,0.088
273,2,0,0.1
273,2,1,0.01200000000000001
273,2,2,0.1
273,2,3,0.1
273,3,0,0.088
273,3,2,0.1
273,3,3,0.088
274,0,0,0.088
274,0,2,0.1
274,1,0,0.088
274,1,2,0.1
274,1,3,0.088
274,2,0,0.1
274,2,1,0.01200000000000026
274,2,2,0.1
274,2,3,0.1
274,3,0,0.088
274,3,2,0.1
277,0,0,0.088
277,0,2,0.088
277,0,3,0.088
278,0,0,0.088
278,0,2,0.088
278,0,3,0.088
278,3,0,0.088
278,3,2,0.088
278,3,3,0.088
281,0,0,0.1
281,0,1,0.01200000000000001
281,0,2,0.1
281,0,3,0.1
282,0,0,0.088
282,0,2,0.1
282,0,3,0.088
282,1,0,0.088
282,1,2,0.088
282,1,3,0.088
282,2,0,0.088
282,2,2,0.088
282,2,3,0.088
282,3,0,0.1
282,3,1,0.01200000000000001
282,3,2,0.1
282,3,3,0.1
284,0,0,0.088
284,0,2,0.1
284,0,3,0.088
284,1,0,0.1
284,1,1,0.01200000000000001
284,1,2,0.1
284,1,3,0.1
284,2,0,0.088
284,2,2,0.088
284,2,3,0.088
284,3,0,0.1
284,3,1,0.01200000000000001
284,3,2,0.1
284,3,3,0.1
288,0,0,0.088
288,0,2,0.1
288,1,0,0.088
288,1,2,0.1
288,2,0,0.088
288,2,2,0.1
288,3,0,0.088
288,3,2,0.1
289,0,0,0.088
289,0,2,0.1
289,1,0,0.088
289,1,2,0.1
289,2,0,0.088
289,2,2,0.1
289,3,0,0.088
289,3,2,0.1
290,0,0,0.088
290,0,2,0.1
290,1,0,0.088
290,1,2,0.1
290,2,0,0.088
290,2,2,0.1
290,3,0,0.088
290,3,2,0.1
293,0,0,0.088
293,0,2,0.088
293,0,3,0.088
294,0,0,0.088
294,0,2,0.088
294,0,3,0.088
294,3,0,0.1
